"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Monthly Sales","Sales Trend (90 days) (%)","Monthly Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Width","Height","Length","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B09CCQ1ZP1","B09CCQ1ZP1","FunChem Glass Thermometer Inlet Adapter for Distillation Apparatus, Thermometer Adapter with 24/40 Inner Joint, 80mm Height, 1 Pack (24/40 Joint)","db11","FBA","Industrial & Scientific",151386,"Distillation Apparatus",12.99,3,20,0,259.8,2,4.5,"FunChem",1,"N/A","N/A","Large Standard-Size",4.57,5.71,1.1,0.090405,11.461734548611114,39.86690277777779,"02/01/2023",13,4,0,10
"https://amazon.com/dp/B09L6TDTWR","B09L6TDTWR","10 Inch Clear Cake Box for 8 Inch Tall Cakes (3 Pack) + White Cake Drums (3 Pack) + Gold Ribbon | Sturdy Beautiful Cake Carrier & Gift Box","BOARDS+","FBA","Industrial & Scientific",108644,"Bakery Take Out Containers",25.99,6,3,0,77.97,30,4.6,"Boards+",1,"N/A","N/A","Large Standard-Size",12.362204724409,12.716535433071,4.6456692913386,2.418885,291.62072172022084,1014.3329451138117,"09/01/2022",7,8,6,0.1
"https://amazon.com/dp/B09RY5FTD2","B09RY5FTD2","Red Hound Auto 10 Traffic Cone Holders Vertical Mount Heavy Duty White Powder Coated Steel 22 x 6.75 Inches Carrier for Truck or Trailer","Red Hound Auto","FBM","Industrial & Scientific",649075,"Cones",124.98,"N/A",0,-100,0,"N/A","N/A","redhoundauto",1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12/01/2022",12,5,0,"N/A"
"https://amazon.com/dp/B0B524LQHF","B0B524LQHF","QWORK 2 Pack Electrical Cord Plug Lockout Device for Electrical Cord, Plug Locking Safety Lock Fits 2 & 3 Prong Plugs, Electrical Shutdown Service American Standard, Built-in Lock Cylinder, Dual Key,","QWORK","FBA","Industrial & Scientific",96507,"Devices",16.97,"N/A",27,-46,458.19,1,5,"QWORK",1,"N/A","N/A","Small Standard-Size",5.3543307086614,5.511811023622,0.62992125984252,0.337365,7.423199448323572,25.81982416808199,"09/01/2022",7,7,2,27
"https://amazon.com/dp/B07365NPXZ","B07365NPXZ","1M Lithium Acetate Solution, 125 mL -from Cepham Life Sciences","Cepham Life Sciences","FBM","Industrial & Scientific",999959,"Lab Chemicals",33,"N/A",0,0,0,"N/A","N/A","Cepham Life Sciences Inc",1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","06/01/2021",65,2,0,"N/A"
"https://amazon.com/dp/B0B33ZBXYD","B0B33ZBXYD","13W Spiral CFL Blue Fluorescent Bulb by Lumenivo - Colored Fluorescent Light Bulb for Indoor and Outdoor - E26 Medium Base Patio Coil Light Bulb - 120V - 4 Pack","lumenivo","FBA","Industrial & Scientific",57806,"Compact Fluorescent Bulbs",25.25,"N/A",27,-37,681.75,39,3.9,"Lumenivo",1,"N/A","N/A","Large Standard-Size",4.6062992125984,7.0472440944882,4.4488188976378,0.63945,57.66622722959997,200.5781816681738,"10/01/2022",10,7,18,0.69
"https://amazon.com/dp/B00ODPFSKA","B00ODPFSKA","Scotch-Brite Light Deburring Wheel, 14 in x 2 in x 8 in 7S FIN","Scotch-Brite","FBM","Industrial & Scientific",1456161,"Unitized & Convolute Wheels",417.35,"N/A",0,0,0,"N/A","N/A","MAGELLAN DISTRIBUTION CORPORATION",2,"N/A","N/A","Small Oversize",14.5,2.7,14.5,5.5,"N/A","N/A","01/01/2022",66,1,0,"N/A"
"https://amazon.com/dp/B00DLCUKUO","B00DLCUKUO","HSS 4 Flute Hand Tap Set Size: 12 x 1.25","Drill America","FBM","Industrial & Scientific",1026864,"Hand Threading Taps",29.25,2,0,0,0,1,5,"CTI GROUP",1,"N/A","N/A","Large Standard-Size",4,2,6,0.53,"N/A","N/A","03/01/2021",68,8,0,0
"https://amazon.com/dp/B09969QZ7L","B09969QZ7L","HD 319 | JIC 37° Flare Tube Sleeve (319-12 | 3/4"" tube O.D.)","Hydraulics Direct","FBM","Industrial & Scientific",423424,"Fittings",0.75,"N/A",1,0,0.75,"N/A","N/A","Hydraulics Direct",1,7,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","05/01/2022",13,4,13,"N/A"
"https://amazon.com/dp/B0999Q4JRM","B0999Q4JRM","HD 47205 | Flareless Bite Type Tube Compression Fitting x NPTF Pipe Male Straight Adapter (47205-12-12 - 3/4"" Flareless x 3/4"" Male Pipe)","Hydraulics Direct","FBM","Industrial & Scientific",375161,"Pipe Fittings",7.05,"N/A",1,0,7.05,1,5,"Hydraulics Direct",1,5,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","07/01/2022",19,4,9,1
