"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Monthly Sales","Sales Trend (90 days) (%)","Monthly Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Width","Height","Length","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B09XWFJFFS","B09XWFJFFS","MVP Disc Sports Fission Octane Disc Golf Distance Driver (155-160g / Colors May Vary)","MVP Disc Sports","FBM","Sports & Outdoors",107680,"Drivers",21.35,19,57,230,1216.95,9,4.9,"Discovering the World",1,"N/A","N/A","Small Standard-Size",8,0.5,8,0.35242290748899,"N/A","N/A","02/01/2023",10,6,5,7.13
"https://amazon.com/dp/B09RTLYQCG","B09RTLYQCG","Nomad Design Vertrex Max Vibe Inshore - White Glow, 75mm - 3 Inch - 2/5oz","Nomad Design","FBM","Sports & Outdoors",44515,"Soft Lures",13.49,"N/A",62,175,836.38,26,4.8,"DepartureOutdoors",1,1197,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10/01/2022",9,1,49,2.38
"https://amazon.com/dp/B0BCNJLC9R","B0BCNJLC9R","Capacity Exerciser, Portable Adjustable Highly Effective Breathing Exercise Device Professional Improve Endurance for Adults for Outdoors","Uxsiya","FBA","Sports & Outdoors",273013,"Sports Water Bottles",14.79,10,4,0,59.16,"N/A","N/A","Aftercew-US",2,"N/A","N/A","Large Standard-Size",4.7244094488189,1.5748031496063,8.2677165354331,0.15418502202643,24.562056998129854,85.43324173262559,"03/01/2023",7,9,0,"N/A"
"https://amazon.com/dp/B09F3WRDQ9","B09F3WRDQ9","Top of the World NCAA West Virginia Mountaineers Youth Team Color Short Sleeve Tee, Navy, Size XX-Large","Top of the World","Amazon","Sports & Outdoors",544302,"T-Shirts",18,"N/A",1,-89,18,"N/A","N/A","Amazon",3,128,"N/A","Large Standard-Size",10,4,12,4,"N/A","N/A","06/01/2022",17,1,177,"N/A"
"https://amazon.com/dp/B08Z1CGSK8","B08Z1CGSK8","The Fan-Brand Oregon Ducks Round Rotating Lighted Wall Sign - Football, Basketball & Baseball Wall Decor - College Sports Decor for Home, Office, Game Room, Fan Cave & Garage - USA Made","The Fan-Brand","FBM","Sports & Outdoors",94756,"Plaques",214,-2,2,-123,499.98,9,4.4,"The Fan-Brand",1,77,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12/01/2022",16,4,295,0.22
"https://amazon.com/dp/B08YZ8SSW5","B08YZ8SSW5","The Fan-Brand North Carolina Tar Heels Round Rotating Lighted Wall Sign - Football, Basketball & Baseball Wall Decor - College Sports Decor for Home, Office, Game Room, Fan Cave & Garage - USA Made","The Fan-Brand","FBM","Sports & Outdoors",80477,"Plaques",214,-2,2,-122,499.98,9,4.4,"The Fan-Brand",1,76,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11/01/2022",639,4,295,0.22
"https://amazon.com/dp/B093QJMLWW","B093QJMLWW","New Balance Men's 696 V4 Hard Court Tennis Shoe, Victory Blue/White, 12.5 XW US","New Balance","FBA","Sports & Outdoors",12864,"Footwear",119.95,"N/A",639,-52,76648.05,1366,4.3,"Ford Wares",1,13451,259,"Large Standard-Size",8.6,13.5,5.2,2.030805,241.06875,838.5,"10/01/2022",18,8,677,0.47
"https://amazon.com/dp/B09YL3QBS2","B09YL3QBS2","bmkBWO Maxi Dresses for Women 2022 Summer Spaghetti Strap Beach Dress Sexy Sleeveless Loose Casual Crewneck Long Dresses","bmkBWO","FBM","Sports & Outdoors",111728,"Hardware & Accessories",10,"N/A",25,0,250,37,3.8,"CD-HJ 7-14 Days Delivery",1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","05/01/2022",639,6,129,0.68
"https://amazon.com/dp/B07KS2D5NZ","B07KS2D5NZ","Venture Glove Logo Black/Red XL","Kali Protectives","FBA","Sports & Outdoors",1189446,"Body Armor",11.95,-36,0,-133,0,2,5,"Uptown Bicycles",3,10,"N/A","Large Standard-Size",4.45,12.13,1.65,0.200655,35.563959635416666,123.70072916666668,"03/01/2022",36,4,4,0
"https://amazon.com/dp/B095LDMPZM","B095LDMPZM","OlyljpinZ Mens Outdoor Fishing Vest with Multi Pockets Mesh Utility Vest Travel Photo Vest Summer Lightweight Vest Tools Vest","OlyljpinZ","FBM","Sports & Outdoors",142485,"Fishing",26.99,"N/A",38,55,1025.62,107,4.5,"jiawang®",1,582,"N/A","Large Standard-Size",11.811023622047,0.78740157480315,15.748031496063,0.77175,"N/A","N/A","10/01/2022",639,6,113,0.36
"https://amazon.com/dp/B082VH7CL2","B082VH7CL2","RNR Ares Lifeline - Orange (150)","RNR","FBA","Sports & Outdoors",2225569,"Rope",189.95,"N/A",0,0,0,"N/A","N/A","Rock-N-Rescue",1,"N/A","N/A","Small Oversize",8.5,23,4,13.002885,217.22222222222223,543.0555555555555,"07/01/2022",28,1,2,"N/A"
