ASIN,Title,Brand,Fulfillment,Category,Subcategory,Price,Monthly Sales,Sales Trend (90 days) (%),Monthly Revenue,Review Count,Reviews Rating,Seller,Number of Active Sellers,Sales Year Over Year (%),Storage Fee (Jan - Sep),Storage Fee (Oct - Dec),Best Sales Period,Age (Month),Number of Images
B08ZNWMQDY,"The HC Companies 6 Inch Eclipse Round Planter with Saucer - Indoor Outdoor Plant Pot for Flowers, Vegetables, and Herbs, Warm Gray",The HC Companies,Amazon,"Patio, Lawn & Garden",Planters,3.49,8259,78.0,28823.91,2442.0,4.5,Amazon,3,,,,05/01/2022,23,4.0
B09V6TDCXM,"YIGER 2022 New Upgrade Under-Cabinet Lighting (2 Pack) Closet Light（Fourth Gear switchl by 10 Super Bright LED Lights. Ideal for Closet, Under Cabinet or Anywhere Dark…",YIGER,FBA,Tools & Home Improvement,Under-Cabinet Lights,23.99,7401,,177549.99,1204.0,4.7,TONLIN,1,,13.080495312499998,45.497375,03/01/2023,10,1.0
B071RJDS4M,200ct Clear Cello Bags Adhesive 10 x 13-1.4 mils Self Sealing OPP Plastic Gift Bags for Clothing T-shirt Storage Envelope Gift Cellophane Wrap (10'' x 13''),BakeBaking,FBA,Industrial & Scientific,Poly & Plastic Packaging Bags,18.98,7232,19.0,137263.36,5210.0,4.7,Chnprice,1,1.0,60.78658420138888,211.43159722222225,10/01/2022,70,1.0
B09V6XZ5WP,"Skechers Women's GO Walk Pant, Pewter, L",Skechers,Amazon,"Clothing, Shoes & Jewelry",Clothing,49.0,7073,0.0,346577.0,7056.0,4.6,Amazon,1,,,,02/01/2023,10,2.0
B092ZN5K7Z,"6pcs 3/0 Awg - 1/4"" (M6) Sanuke Wire Lugs Ring Terminal Connectors Ends Heavy Duty for Battery Cable Lug Wire Electrical Eyelets with 3:1 Dual Wall Adhesive Heat Shrink",Sanuke,FBA,Industrial & Scientific,Ring,7.99,7039,242.0,56241.61,2879.0,4.8,CPB-AZ,1,91.0,6.904001041666667,24.01391666666667,10/01/2022,22,7.0
B096XXKL6R,"Amazon Basic Care Children's Ibuprofen 100mg, Bubblegum, 4oz",Amazon Basic Care,Amazon,Health & Household,Ibuprofen,6.29,6809,-70.0,0.0,5280.0,4.8,Amazon,1,,,,12/01/2022,14,7.0
B0B395HXZG,"Aurefin Athletic Shorts for Women, Women's Quick Dry Running Track Shorts Workout Active Shorts with Elastic and Zip Pocket 2.5 inch Yellow/S",Aurefin,FBA,"Clothing, Shoes & Jewelry",Shorts,16.99,6766,0.0,0.0,495.0,4.3,ZBTLAOQI,1,,142.25484666666665,494.7994666666666,02/01/2023,9,7.0
B0B2RPPFGJ,Romwe Women's Cute Tie Back Ruffle Strap A Line Fit and Flare Flowy Short Dress Floral Print Multicolor S,Romwe,FBA,"Clothing, Shoes & Jewelry",,32.99,6098,551.0,201173.02,4922.0,3.8,OYOANGLE ONLINE STORE,1,91.0,148.7243377777778,517.3020444444445,06/01/2022,8,7.0
B08YYFSKN4,"MIULEE Pack of 2 Corduroy Soft Solid Decorative Square Throw Pillow Covers Cushion Cases Pillow Cases for Couch Sofa Bedroom Car 12 x 12 Inch 30 x 30 cm, Black",MIULEE,FBA,Home & Kitchen,Throw Pillow Covers,11.99,5576,32.0,66856.24,13584.0,4.6,Miulee Home,1,,39.46325624999999,137.2635,09/01/2022,18,6.0
B0B178R7W1,"Laura Ashley Home - Twin Sheets, Cotton Flannel Bedding Set, Brushed for Extra Softness & Comfort (Chelsie Vine Grey, Twin)",Laura Ashley,Amazon,Home & Kitchen,Sheet & Pillowcase Sets,26.99,5137,-66.0,138647.63,6384.0,4.6,Amazon,1,,,,10/01/2022,11,9.0
B09GKB1F3X,"Calming Dog Bed Fluffy Plush Dog Mat for Furniture Protector with Removable Washable Cover for Large Medium Small Dogs and Cats (Medium(41x37x6), Light Grey)",CHONGFA,FBA,Pet Supplies,Beds,53.99,5100,-95.0,275349.0,4039.0,4.2,CHONGFA,1,,344.45215277777766,1198.0944444444442,12/01/2022,17,7.0
